Source/Table Type,Workspace Name,Dataflow Name (Source Name),Table Name (Entity Name),Owner (Bus/Dev),Last Model / Catalog Update,Table/Entity Description,Table/Entity Grain,Dependencies
Custom Tables,(DATA) HC Data Warehouse,Metrics,Metrics VenueAttendanceMultiplier,Ron Brown,9/27/2024,"Table is used to store Multiplier rows by VenueID, CampusID, MultiplierCategory and Multiiplier. A multiplier can be updated by adding a Multiplier or changing A Multiplier.  This is done in the back-end",,"people PersonEngagement', 'custom DimPerson', 'custom Person_Spouse'"
Custom Tables,(DATA) HC Data Warehouse,Metrics,Metrics vwFactMetricsOnlineAttendance,Ron Brown,9/27/2024,"Mirrors Metrics.FactTrendMetrics table with added VenueID, MultiplierCategory & Multiplier.  Other columns not related to attendance (Decisions, Baptisms...) are not in this view.","
 • VenueID - VenuID from Shared DimVenue
 •  MultiplierCategory - From Metrics VenueAttendanceMultiplier table 
 •  Multiplier - Percentage used to multiply attendance count
",People PersonEngagement
Custom Tables,(DATA) HC Production,Custom Forms Transition,FormCard_Response_Summary,Kirk,9/25/2024,"• This table combines the response card and form data into one at the question/answer level.  It is recommended to use the custom columns data where possible as these have been cleaned up per the manual override process (based on excel spreadheets).
Indicator Codes:
""Source_Ind"": 1 = Response Cards, 2 = Forms Answer, 3 = Forms Personal Info
""Custom_Exclude_Flag"": 0 = include, 1 = exclude
• The ""Custom_CountCategory"" column includes the count category and should be used for all standard form reponse counts.  This field takes into account current staff exclusion for Accepted Christ, Baptized, and First Time by not including the count category name if the count came from a current staff member.","• Each row represents a single question and answer filled out on the response card/form.
*This table must be used in conjunction with the ""FormCard_Entry_Summary"" table since entry level filters are only applied there.",N/A
Custom Tables,(DATA) HC Data Warehouse,Shared,Shared DimSubVenue ,,9/17/2024,Table containing metadata for different SubVenues as created in HC,,"'custom DimPerson', 'custom Person_Spouse'"
Custom Tables,(DATA) HC Data Warehouse,Custom DWH Tables,custom Relationship_ChildParent,Kirk/Ron,6/11/2024,"• Total_Parent_Married_Status - If any parent is married then the child is counted in married
else if any parent is single, divorced, or widowed the child is counted as single
else child is counted as unknown",• One row per person,XT_MAPP_Custom_message_name
Custom Tables,(DATA) HC Data Warehouse,Ministry,Ministry DimServingOpportunityVolunteerCheckIn,,6/7/2024,This table contains all serving opportunity check in data (person who checked in) as well as the related event data,Each row represents a volunteer checking into to a serving opportunity,
Custom Tables,(DATA) HC Data Warehouse,Custom DWH Tables,custom DimPerson,Kirk/Ron,6/5/2024,"Standard people DimPerson table with the addition of the HC_Campus column and the FirstGivingDate.  This was done to remedy the change in the people DimPerson structure where campus id changed from HC campus ID to DWH campus ID.
First giving date includes all givings sources captured by the DWH and includes any ""Payment"" type transaction.

• HouseholdFirstGivingDate - First giving date of husband, wife or unmaried person
• HouseholdLastGivingDate - Last giving date of husband, wife or unmaried person
","Each row represents a single person in the datawarehouse.
*Data Quality Note: An individual human could have multiple person records.
",
Custom Tables,(DATA) HC Data Warehouse,Metrics,Metrics FactTrendMetrics,Jeremiah/Ron Brown,11/19/2024,"• a table containing various counts (Attendance, Baptism, Decisions). This table has a related Stored Procedure that populates the data in the Ministry App with Bill Armstrong's team.
• There are multiple columns for Decisions by Milestone. DecisionsByMilestone.Basecount is the raw count. DecisionsByMilestone.ExclusionCount is a counter for food pantry Decisions. Only use the one for DecisionsByMilestone.FinalCount
• Lake Forest Mandarin community attendance is added to Lake Forest campus. So Mandarin rowsattendanceCount values are 0
BAPTISMS & DECISIONS.
• Baptisms after 2022 are based on person milestones and data entry prior
• Decisions are based on person milestones
• Lake Forest Mandarin Community has baptism and decision counts listed
","""• one row per MetricDateKey per MetricTimeKey per CampusID per age group (age only applies to attendance and baptisms) attendance ranges from 2015–present
 • Decisions are always listed as DemographicID = 1 because age of decision date is not captured
 SERVICEWEEK
 • also contains ServiceWeek, ServiceMonth, ServiceYear for aggregation
 • Attendance is Sat 4pm – Sat 3:59pm (date and time)
 • Decisions and Baptisms are Sat–Fri (date only)""
 • Baptism counts are rolled up to the campus where the baptism occurred, not the campus where a person attends.", The DecisionsBy ConnectionCardCount column has been hidden from the DF since this is not the correct/full logic for decisions.  Instead this count should be based on the Forms Dataflow.
Custom Tables,(DATA) HC Data Warehouse,Events,Events WorshipServiceCategoryServiceWeekMap,,5/31/2024,"For Worship Service Categories where the service week is customized (assinged to a specific date outside of the normal weekend rules), the custom assigned service week is here.",,
Custom Tables,(DATA) HC Production,Ministry,public ministry_church_entity,Jeremiah/Healthy Church,5/10/2024,"there are general ministries and local (per-campus) ministries. In HC, when a general ministry is inactive, all related local ministries are also changed to inactive",one row per ministry per campus,
